300MHz Spectrometer, CHL-D
Frequency (Hz),Intensity
4129.79477914,-253.8
4129.50246029,-3.6
4129.21014144,-212.4
4128.91782259,-210.1
4128.62550374,-276.4
4128.3331849,-498.3
4128.04086605,-326.6
4127.7485472,-282.4
4127.45622835,-4.1
4127.1639095,250.5
4126.87159066,-50.0
4126.57927181,-131.3
4126.28695296,109.4
4125.99463411,13.3
4125.70231526,-138.6
4125.40999642,-163.4
4125.11767757,-156.8
4124.82535872,-196.3
4124.53303987,-337.6
4124.24072102,-337.1
4123.94840218,-476.5
4123.65608333,-448.6
4123.36376448,-251.3
4123.07144563,-189.3
4122.77912678,-93.9
4122.48680794,-168.1
4122.19448909,-269.5
4121.90217024,-320.6
4121.60985139,-9.9
4121.31753254,49.6
4121.0252137,18.8
4120.73289485,-141.5
4120.440576,-441.5
4120.14825715,-492.6
4119.8559383,-289.5
4119.56361946,-247.1
4119.27130061,79.1
4118.97898176,-91.1
4118.68666291,-69.6
4118.39434406,-107.4
4118.10202522,-7.4
4117.80970637,-336.6
4117.51738752,-407.8
4117.22506867,-89.8
4116.93274982,-44.9
4116.64043098,-63.8
4116.34811213,-0.8
4116.05579328,58.6
4115.76347443,24.0
4115.47115558,-217.0
4115.17883674,-345.5
4114.88651789,0.8
4114.59419904,-246.1
4114.30188019,-153.0
4114.00956134,-385.9
4113.7172425,-280.0
4113.42492365,177.8
4113.1326048,-48.6
4112.84028595,-384.6
4112.5479671,-403.0
4112.25564826,-564.5
4111.96332941,-322.0
4111.67101056,-589.6
4111.37869171,-340.5
4111.08637286,-385.1
4110.79405402,-214.5
4110.50173517,-124.1
4110.20941632,-296.3
4109.91709747,-352.9
4109.62477862,-633.1
4109.33245978,-318.5
4109.04014093,-36.5
4108.74782208,-213.6
4108.45550323,-162.1
4108.16318438,1.6
4107.87086554,110.0
4107.57854669,217.3
4107.28622784,197.5
4106.99390899,-282.8
4106.70159014,-506.8
4106.4092713,-119.9
4106.11695245,-379.1
4105.8246336,-604.6
4105.53231475,-213.0
4105.2399959,-362.5
4104.94767706,-300.6
4104.65535821,-201.6
4104.36303936,-414.0
4104.07072051,-538.4
4103.77840166,-563.8
4103.48608282,-629.6
4103.19376397,-412.1
4102.90144512,-266.3
4102.60912627,-129.4
4102.31680742,-250.4
4102.02448858,-170.0
4101.73216973,-459.9
4101.43985088,-591.4
4101.14753203,-304.4
4100.85521318,-259.9
4100.56289434,-91.9
4100.27057549,-423.1
4099.97825664,-553.6
4099.68593779,-606.8
4099.39361894,-471.0
4099.1013001,-495.1
4098.80898125,-536.4
4098.5166624,-493.8
4098.22434355,-595.8
4097.9320247,-126.4
4097.63970586,-99.3
4097.34738701,-190.6
4097.05506816,-30.3
4096.76274931,-0.4
4096.47043046,96.3
4096.17811162,111.8
4095.88579277,169.5
4095.59347392,-54.0
4095.30115507,-428.8
4095.00883622,-200.1
4094.71651738,66.0
4094.42419853,-142.1
4094.13187968,-277.0
4093.83956083,-90.1
4093.54724198,-284.1
4093.25492314,-356.6
4092.96260429,197.0
4092.67028544,-231.6
4092.37796659,-407.9
4092.08564774,-126.1
4091.7933289,-29.5
4091.50101005,-234.6
4091.2086912,265.5
4090.91637235,-103.1
4090.6240535,-327.5
4090.33173466,-391.6
4090.03941581,-42.5
4089.74709696,-9.6
4089.45477811,165.6
4089.16245926,-57.9
4088.87014042,-390.9
4088.57782157,-23.5
4088.28550272,374.9
4087.99318387,7.8
4087.70086502,-46.1
4087.40854618,171.3
4087.11622733,-76.9
4086.82390848,-79.0
4086.53158963,110.0
4086.23927078,102.3
4085.94695194,82.8
4085.65463309,262.1
4085.36231424,410.0
4085.06999539,241.4
4084.77767654,476.9
4084.4853577,-104.9
4084.19303885,-568.9
4083.90072,-303.1
4083.60840115,-78.1
4083.3160823,-295.4
4083.02376346,-431.4
4082.73144461,-51.6
4082.43912576,-474.1
4082.14680691,-571.0
4081.85448806,-628.9
4081.56216922,-744.0
4081.26985037,-447.9
4080.97753152,-616.0
4080.68521267,-609.1
4080.39289382,-355.4
4080.10057498,-243.9
4079.80825613,-42.6
4079.51593728,149.1
4079.22361843,-57.5
4078.93129958,-272.4
4078.63898074,-108.9
4078.34666189,44.3
4078.05434304,-154.8
4077.76202419,-362.8
4077.46970534,-351.1
4077.1773865,-175.0
4076.88506765,-130.1
4076.5927488,-184.3
4076.30042995,-65.4
4076.0081111,85.9
4075.71579226,-384.0
4075.42347341,-232.5
4075.13115456,-699.0
4074.83883571,-748.1
4074.54651686,-579.4
4074.25419802,-160.6
4073.96187917,-168.5
4073.66956032,-448.5
4073.37724147,-138.4
4073.08492262,25.0
4072.79260378,127.6
4072.50028493,155.5
4072.20796608,-352.5
4071.91564723,-75.6
4071.62332838,-49.4
4071.33100954,-286.4
4071.03869069,-251.4
4070.74637184,-113.6
4070.45405299,-71.6
4070.16173414,-352.8
4069.8694153,-422.4
4069.57709645,-186.6
4069.2847776,183.5
4068.99245875,-194.8
4068.7001399,38.6
4068.40782106,-22.9
4068.11550221,-231.5
4067.82318336,-727.5
4067.53086451,-115.1
4067.23854566,178.1
4066.94622682,168.6
4066.65390797,-98.5
4066.36158912,-189.9
4066.06927027,152.1
4065.77695142,-164.3
4065.48463258,-605.9
4065.19231373,-464.8
4064.89999488,-286.3
4064.60767603,-18.6
4064.31535718,-18.5
4064.02303834,-305.1
4063.73071949,-203.1
4063.43840064,4.4
4063.14608179,8.5
4062.85376294,-352.0
4062.5614441,-68.6
4062.26912525,185.5
4061.9768064,310.0
4061.68448755,-24.0
4061.3921687,42.6
4061.09984986,-404.6
4060.80753101,-329.6
4060.51521216,-202.6
4060.22289331,128.4
4059.93057446,292.8
4059.63825562,115.5
4059.34593677,-155.1
4059.05361792,114.1
4058.76129907,9.0
4058.46898022,-93.8
4058.17666138,-26.8
4057.88434253,6.3
4057.59202368,126.5
4057.29970483,-241.1
4057.00738598,-261.4
4056.71506714,-385.0
4056.42274829,-294.9
4056.13042944,-267.4
4055.83811059,-421.8
4055.54579174,53.1
4055.2534729,-173.8
4054.96115405,-195.0
4054.6688352,-65.1
4054.37651635,-350.0
4054.0841975,-436.0
4053.79187866,-234.9
4053.49955981,20.6
4053.20724096,303.1
4052.91492211,165.0
4052.62260326,-154.0
4052.33028442,-204.5
4052.03796557,-473.5
4051.74564672,-622.5
4051.45332787,-587.6
4051.16100902,-241.6
4050.86869018,-185.9
4050.57637133,-308.4
4050.28405248,-187.9
4049.99173363,-306.0
4049.69941478,-112.6
4049.40709594,-187.3
4049.11477709,-214.4
4048.82245824,-133.3
4048.53013939,-171.9
4048.23782054,-247.1
4047.9455017,-77.4
4047.65318285,-100.0
4047.360864,103.8
4047.06854515,271.5
4046.7762263,107.3
4046.48390746,286.0
4046.19158861,56.3
4045.89926976,-185.9
4045.60695091,-384.8
4045.31463206,-409.9
4045.02231322,-576.1
4044.72999437,127.0
4044.43767552,280.1
4044.14535667,186.9
4043.85303782,129.8
4043.56071898,119.4
4043.26840013,-258.4
4042.97608128,-138.9
4042.68376243,67.3
4042.39144358,1.1
4042.09912474,-388.6
4041.80680589,-82.1
4041.51448704,-42.0
4041.22216819,-86.8
4040.92984934,-166.4
